id|ident|name|type|frequency|latitude|longitude|elevation|isoCountry|magneticVariation|usageType|power|associatedAirport
85138|8H|St Paul|NDB|375|53.99190139770508|-111.39099884033203|2147|CA|15.474|LO|MEDIUM|CEW3
85139|8J|Provost|NDB|208|52.332801818847656|-110.27300262451172|2216|CA|14.4|LO|LOW|CEH6
85140|8J|Provost|DME|109000|52.33359909057617|-110.27300262451172|2216|CA|14.401|LO|LOW|CEH6
85141|8K|Valleyview|NDB|229|55.034400939941406|-117.28900146484375|2450|CA|19.016|LO|LOW|CEL5
85142|8M|Elk Point|NDB-DME|414|53.89030075073242|-110.76799774169922|1999|CA|15.234|LO|LOW|CEJ6
85143|8N|Edson|NDB-DME|393|53.5807991027832|-116.45500183105469|3066|CA|18.074|LO|LOW|CYET
85144|9A|Hanna|NDB|221|51.62779998779297|-111.9010009765625|2738|CA|15.227|LO|LOW|CEL4
85145|9G|Sundre|NDB|405|51.779998779296875|-114.68299865722656|3656|CA|16.449|LO|MEDIUM|CFN7
85146|9H|La Grande 3|NDB|235|53.57379913330078|-76.20079803466797|774|CA|-17.585|LO|MEDIUM|CYAD
85147|9Q|Amos|NDB|291|48.55759811401367|-78.24310302734375|1068|CA|-13.262|LO|LOW|CYEY
85148|9S|Powell River Bc|DME|109300|49.835601806640625|-124.4990005493164|425|CA|18.516|BOTH|LOW|CYPW
85149|9X|Brooks|NDB-DME|227|50.632198333740234|-111.9219970703125|2499|CA|15.068|LO|LOW|CYBP
85150|9Y|Pincher Creek|NDB|311|49.52330017089844|-113.9990005493164||CA|15.458|BOTH|LOW|CZPC
85151|9Z|Westlock|NDB-DME|236|54.14310073852539|-113.74800109863281|2230|CA|17.069|LO|LOW|CES4
85152|A|Baku/Bina|NDB|113|40.44499969482422|50.06330108642578|19|AZ|5.26|TERMINAL|LOW|
85154|A|Ministro Pistarini|NDB|237|-34.84159851074219|-58.52239990234375|66|AR|-6.499|TERMINAL|LOW|
85155|A|Reconquista|NDB|242|-29.211000442504883|-59.70759963989258||AR|-8.35|TERMINAL|LOW|
85156|A|Tartagal|NDB|415|-22.635900497436523|-63.79570007324219|1473|AR|-7.328|TERMINAL|LOW|
85157|A|Habana|NDB|339|22.973800659179688|-82.43219757080078|233|CU|-3.315|TERMINAL|MEDIUM|
85158|A|Almaza|NDB|490|30.073999404907227|31.359399795532227||EG|3.203|TERMINAL|MEDIUM|HEAZ
85159|A|Budapest|NDB|343|47.45500183105469|19.210500717163086||HU|3.234|TERMINAL|LOW|
85160|A|Opera|NDB|422|47.1067008972168|20.226699829101562|322|HU|3.342|TERMINAL|LOW|LHSN
85161|A|Almaty|NDB|763|43.36859893798828|77.07389831542969||KZ|4.452|BOTH|MEDIUM|
85162|A|Baneasa East|NDB|434|44.51029968261719|26.136899948120117||RO|4.204|BOTH|HIGH|
85163|A|Sheremetyevo|NDB|338|55.97999954223633|37.461700439453125||RU|9.43|TERMINAL|LOW|UUEE
85164|A|Kharkiv|NDB|678|49.92430114746094|36.319698333740234||UA|7.162|BOTH|HIGH|UKHH
85165|A|Zaporizhzhia|NDB|608|47.84700012207031|35.302799224853516||UA|6.296|TERMINAL|LOW|
85166|A1|Taltheilei Narrows|NDB|264|62.59469985961914|-111.51899719238281|570|CA|19.032|LO|MEDIUM|CFA7
85167|A5|Chinchaga|NDB|317|57.54499816894531|-119.11100006103516|2280|CA|20.491|LO|LOW|CED2
85168|A9|Liverpool|NDB|330|44.22700119018555|-64.8584976196289|314|CA|-18.25|LO|LOW|CYAU
85169|AA|Auckland|VOR-DME|114800|-37.004600524902344|174.81399536132812|13|NZ|19.282|BOTH|HIGH|NZAA
85170|AA|Anaa|NDB|333|-17.355600357055664|-145.48199462890625||PF|12.445|TERMINAL|MEDIUM|NTGA
85171|AA|Accra|NDB|409|5.6761698722839355|-0.13803300261497498||GH|-4.416|TERMINAL|MEDIUM|DGAA
85172|AA|Aasiaat|NDB|336|68.72319793701172|-52.7848014831543||GL|-36.533|LO|LOW|BGAA
85173|AA|Atambua|NDB|300|-9.074440002441406|124.90499877929688|1434|ID|2.218|BOTH|MEDIUM|
85174|AA|Aliabad|NDB|397|35.63370132446289|51.41780090332031|3603|IR|4.015|BOTH|LOW|
85175|AA|Abemama|NDB|396|0.5|173.85000610351562|108|KI|9.26|BOTH|LOW|NGTB
85176|AA|Aioun El Atrouss|NDB|310|16.692100524902344|-9.600379943847656||MR|-5.157|BOTH|LOW|GQNA
85177|AA|Madrid|NDB|355|40.44820022583008|-3.5388100147247314||ES|-2.13|TERMINAL|LOW|
85178|AA|Kenie|NDB|365|47.009300231933594|-96.81520080566406|887|US|4.089|TERMINAL|MEDIUM|KFAR
85179|AA|Cedar|NDB|341|33.53300094604492|-82.6144027709961|517|US|-5.217|TERMINAL|LOW|
85180|AAA|Abraham|NDB|329|40.160099029541016|-89.33779907226562|593|US|-1.206|TERMINAL|LOW|
85181|AAE|Ahmedabad|VOR-DME|113100|23.072200775146484|72.625|184|IN|-0.099|BOTH|HIGH|VAAH
85182|AAF|Apalachicola|NDB|349|29.72330093383789|-85.0280990600586|19|US|-2.557|TERMINAL|LOW|
85183|AAL|Aalborg|TACAN|116700|57.10390090942383|9.992810249328613|57|DK|0.598|BOTH|HIGH|EKYT
85184|AAL|Aalborg|VOR-DME|116700|57.10369873046875|9.995579719543457|57|DK|0.589|RNAV|HIGH|EKYT
85185|AAQ|Araraquara|NDB|205|-21.812999725341797|-48.13949966430664|2514|BR|-19.255|BOTH|MEDIUM|SBAQ
85186|AAR|Arar|VORTAC|113300|30.908000946044922|41.1422004699707|1811|SA|3.355|BOTH|HIGH|OERR
