id|ident|name|type|frequency|latitude|longitude|elevation|isoCountry|magneticVariation|usageType|power|associatedAirport
91046|ML|Male|NDB|252|4.190470218658447|73.53109741210938|4|MV|-3.351|BOTH|MEDIUM|VRMM
91047|ML|Chapaev|NDB|740|56.25|73.94999694824219||RU|12.183|BOTH|HIGH|
91048|ML|Wampa|NDB|344|34.79779815673828|-95.8207015991211|739|US|4.002|TERMINAL|LOW|KMLC
91049|ML|Sabar|NDB|392|32.45349884033203|-92.10369873046875||US|1.395|TERMINAL|LOW|KMLU
91050|ML|Molli|NDB|215|41.449100494384766|-90.61849975585938|578|US|-0.292|LO|LOW|KMLI
91051|ML|Marseille/Provence|DME|110300|43.44430160522461|5.202169895172119||FR|0.075|TERMINAL|HIGH|
91052|MLA|Maella|VOR-DME|112100|41.129600524902344|0.165243998169899|1184|ES|-1.083|BOTH|HIGH|
91053|MLB|Melbourne|VOR-DME|110000|28.105300903320312|-80.63529968261719|30|US|-5.409|LO|MEDIUM|KMLB
91054|MLB|Montelibano|NDB|385|8.01222038269043|-75.39779663085938||CO|-5.197|LO|MEDIUM|SKML
91055|MLC|Mc Alester|VORTAC|112000|34.8494987487793|-95.78230285644531|820|US|3.586|BOTH|MEDIUM|KMLC
91056|MLD|Mildenhall|TACAN|115900|52.36330032348633|0.48826900124549866|63|GB|-2.107|BOTH|HIGH|EGUN
91057|MLD|Malindi|VOR-DME|113300|-3.2335400581359863|40.10260009765625|80|KE|-1.032|BOTH|HIGH|HKML
91058|MLD|Malad City|VOR-DME|117400|42.19990158081055|-112.45099639892578|7330|US|13.199|BOTH|HIGH|
91059|MLE|Male|VOR-DME|114700|4.193389892578125|73.53070068359375|22|MV|-3.351|BOTH|HIGH|VRMM
91060|MLE|Millard|NDB|371|41.19490051269531|-96.11399841308594|1051|US|3.572|TERMINAL|LOW|
91061|MLF|Milford|VORTAC|112100|38.36040115356445|-113.01300048828125|4980|US|12.441|BOTH|HIGH|
91062|MLG|Malargue|VOR-DME|117200|-35.48609924316406|-69.57859802246094|4665|AR|3.364|BOTH|HIGH|SAMM
91063|MLG|Malaga|VOR-DME|113550|36.6786994934082|-4.506669998168945|75|ES|-2.207|BOTH|HIGH|LEMG
300050|MLK|Malta|NDB|272|48.368888889|-107.917222222||US||||
91064|MLK|Malakal|VOR-DME|112700|9.563170433044434|31.653200149536133|1316|SS|1.534|BOTH|HIGH|HSSM
91065|MLL|Melilla|DME|117400|35.30739974975586|-2.9554200172424316|381|ES|-1.51|TERMINAL|LOW|GEML
91066|MLM|Morelia|VOR-DME|114600|19.843799591064453|-101.03700256347656|6033|MX|6.419|BOTH|HIGH|MMMM
91067|MLN|Melun|VOR-DME|113600|48.4557991027832|2.8132801055908203|335|FR|-0.534|BOTH|HIGH|LFPM
91068|MLN|Mitilini|VOR-DME|109600|39.05739974975586|26.600500106811523|30|GR|3.447|TERMINAL|LOW|LGMT
91069|MLO|Melo|VOR|114300|-32.34239959716797|-54.22200012207031|364|UY|-11.464|BOTH|HIGH|SUMO
91070|MLO|Milos|NDB|378|36.698299407958984|24.47279930114746|12|GR|3.16|TERMINAL|MEDIUM|
91071|MLP|Mullan Pass|VOR-DME|117800|47.45690155029297|-115.64600372314453|6100|US|15.479|BOTH|HIGH|
91072|MLS|Miles City|VORTAC|112100|46.382198333740234|-105.9540023803711|2640|US|10.558|BOTH|HIGH|KMLS
91073|MLS|Milos|TACAN|117800|36.7057991027832|24.530000686645508|434|GR|3.164|BOTH|HIGH|
91074|MLT|Minami Torishima|TACAN|108600|24.295299530029297|153.98399353027344|39|JP|0.289|BOTH|HIGH|RJAM
91075|MLT|Dongmulantou|VOR-DME|112700|20.15169906616211|110.6729965209961|190|CN|-1.32|BOTH|HIGH|ZJHK
91076|MLT|Millinocket|VOR-DME|117900|45.586700439453125|-68.5155029296875|550|US|-17.457|BOTH|HIGH|
91077|MLT|Malta|NDB|395|35.81549835205078|14.52910041809082||MT|1.524|RNAV|MEDIUM|LMML
91078|MLU|Monroe|VORTAC|117200|32.51689910888672|-92.03600311279297|80|US|1.364|LO|MEDIUM|KMLU
91079|MLX|Morlaix|NDB|371|48.64670181274414|-3.7626900672912598||FR|-3.112|LO|LOW|LFRU
91080|MLY|Maleny|VOR|115900|-26.744699478149414|152.76100158691406||AU|10.512|BOTH|HIGH|
91081|MLY|Manley|VOR-DME|115500|17.930200576782227|-76.77760314941406|10|JM|-6.144|BOTH|HIGH|MKJP
91082|MLZ|Merluza|NDB|165|-25.266799926757812|-45.25270080566406||BR|-20.127|LO|MEDIUM|
91083|MM|Mawlamyine|NDB|330|16.4414005279541|97.65799713134766||MM|-0.434|BOTH|MEDIUM|VYMM
91084|MM|Fort Mcmurray|NDB|388|56.653900146484375|-111.33599853515625||CA|16.369|BOTH|MEDIUM|CYMM
91085|MM|Montceau-Les-Mines|NDB|317|46.60139846801758|4.331389904022217||FR|-0.166|LO|LOW|
91086|MM|Parsabade Moghan|NDB|338|39.61249923706055|47.854698181152344|241|IR|5.124|LO|LOW|OITP
91087|MM|Minne|NDB|383|45.24610137939453|-123.02999877929688|159|US|17.017|TERMINAL|MEDIUM|KMMV
91088|MM|Moree|NDB|392|40.87990188598633|-74.33429718017578||US|-13.027|TERMINAL|LOW|KMMU
91089|MMD|Montmedy|VOR|109400|49.391300201416016|5.124420166015625|1076|FR|-0.144|BOTH|HIGH|
91090|MMI|Mcminn Co|NDB|242|35.39459991455078|-84.56159973144531|840|US|-4.166|LO|LOW|
91091|MMJ|Montour|VORTAC|112000|40.48820114135742|-80.19390106201172|1200|US|-8.519|TERMINAL|MEDIUM|KPIT
91092|MML|Mangalore|VOR-DME|114200|12.961299896240234|74.92160034179688|334|IN|-1.512|BOTH|HIGH|VOML
91093|MML|Marshall|VOR-DME|111000|44.44839859008789|-95.82479858398438|1180|US|3.308|TERMINAL|LOW|
91094|MMM|Mormon Mesa|VORTAC|114300|36.7692985534668|-114.2770004272461|2120|US|12.474|BOTH|MEDIUM|
91095|MMS|Marks|NDB|391|34.233001708984375|-90.28980255126953|160|US|0.125|LO|LOW|KPMU
91096|MMT|Mc Entire|VORTAC|113200|33.92409896850586|-80.80239868164062|249|US|-6.458|LO|LOW|
91097|MMT|Mc Entire|NDB|427|33.935699462890625|-80.79900360107422|298|US|-6.461|LO|LOW|
91098|MMV|Chennai|VOR-DME|112500|12.993399620056152|80.17070007324219|51|IN|-1.467|BOTH|HIGH|VOMM
91099|MMV|Mafikeng|VOR-DME|112900|-25.825899124145508|25.53510093688965|4128|ZA|-16.441|BOTH|HIGH|FAMM
91100|MMY|Maromamy|NDB|267|-18.80590057373047|49.03179931640625||MG|-15.27|BOTH|MEDIUM|
91101|MMY|Many|NDB|272|31.571300506591797|-93.5416030883789|324|US|2.405|TERMINAL|LOW|
91102|MN|Maun|NDB|350|-19.978300094604492|23.429100036621094|3346|BW|-9.539|BOTH|MEDIUM|FBMN
91103|MN|Moundou|NDB|315|8.617779731750488|16.072500228881836|1463|TD|-0.214|BOTH|MEDIUM|FTTD
91104|MN|Mbuji Mayi|NDB|392|-6.105470180511475|23.564800262451172||CD|-1.383|BOTH|MEDIUM|FZEA
91105|MN|Muna|NDB|348|-4.765279769897461|122.56300354003906|14|ID|1.463|BOTH|MEDIUM|
91106|MN|Man|NDB|366|7.266769886016846|-7.583079814910889||CI|-6.412|TERMINAL|LOW|DIMN
91107|MN|Bishkek|NDB|975|43.051700592041016|74.40499877929688||KG|5.005|BOTH|MEDIUM|UAFM
91108|MN|Manychsky|NDB|705|47.04999923706055|40.36669921875||RU|6.577|TERMINAL|HIGH|
91109|MN|Mendeleyevo|NDB|940|58.16669845581055|54.97829818725586||RU|14.313|BOTH|HIGH|
91110|MN|Menorca|NDB|344|39.83649826049805|4.213290214538574|297|ES|-0.013|LO|MEDIUM|LEMH
91111|MNA|El Golea|VOR-DME|112100|30.5585994720459|2.8616700172424316|1306|DZ|-0.247|BOTH|HIGH|DAUE
91112|MNA|Minna|VOR-DME|115100|9.643170356750488|6.449729919433594|834|NG|-2.059|BOTH|HIGH|DNKA
91113|MNC|Mason Co|NDB|348|47.24810028076172|-123.08599853515625|210|US|17.419|LO|LOW|
91114|MND|Mendenhall|NDB|332|58.3588981628418|-134.63299560546875||US|22.553|LO|MEDIUM|
91115|MND|Mannheim|DME|113550|49.47060012817383|8.515979766845703|351|DE|0.468|TERMINAL|LOW|EDFM
91116|MNE|Mount Keith|NDB|332|-27.28689956665039|120.54900360107422||AU|1.283|BOTH|MEDIUM|YMNE
91117|MNE|Munchen|NDB|369|48.35540008544922|11.675999641418457||DE|1.401|TERMINAL|LOW|EDDM
91118|MNE|Minden|NDB|201|32.64080047607422|-93.3021011352539|290|US|2.27|TERMINAL|LOW|
91119|MNF|Moron|NDB|428|37.29460144042969|-5.562139987945557||ES|-2.42|LO|MEDIUM|LEMO
91120|MNF|Mountain View|NDB|365|36.993900299072266|-91.71260070800781|1165|US|0.576|TERMINAL|LOW|
91121|MNG|Mangalore|VOR|113200|-36.88610076904297|145.19400024414062|467|AU|11.253|BOTH|HIGH|YMNG
91122|MNG|Mangalore|NDB|254|-36.89720153808594|145.18099975585938||AU|11.252|BOTH|MEDIUM|YMNG
91123|MNI|Merzifon|TACAN|109300|40.835601806640625|35.53969955444336|1783|TR|4.562|BOTH|LOW|LTAP
91124|MNI|Manning|NDB|381|33.588199615478516|-80.2061996459961|99|US|-7.069|TERMINAL|LOW|
91125|MNL|Amendola|TACAN|115250|41.537899017333984|15.710000038146973|185|IT|2.209|BOTH|MEDIUM|LIBA
91126|MNL|Mineral Creek|NDB|524|61.12419891357422|-146.3520050048828|16|US|21.334|LO|LOW|PAVD
91127|MNM|Menominee|VOR-DME|109600|45.18009948730469|-87.64720153808594|650|US|-3.535|LO|MEDIUM|
91128|MNN|Marion|NDB|201|40.6171989440918|-83.07009887695312|991|US|-6.38|TERMINAL|LOW|
91129|MNO|Manado|VOR-DME|114200|1.5551799535751343|124.9280014038086|270|ID|1.059|BOTH|HIGH|WAMM
91130|MNR|Monor|VOR-DME|112500|47.33470153808594|19.405500411987305|453|HU|3.252|BOTH|HIGH|LHBP
91131|MNR|Monor|NDB|288|47.337799072265625|19.399799346923828||HU|3.252|LO|HIGH|LHBP
90735|MNS|Manaus|VOR-DME|115800|-3.040007|-60.054787|108|BR|-14.1|BOTH|HIGH|SBEG
91132|MNS|Minsk-2|VOR-DME|113600|53.8849983215332|28.021699905395508|666|BY|6.305|BOTH|HIGH|UMMS
91133|MNS|Bishkek|VOR-DME|113400|43.06829833984375|74.52169799804688|2051|KG|4.599|BOTH|HIGH|UAFM
91134|MNT|Manantali|NDB|239|13.250699996948242|-10.51710033416748||ML|-6.157|BOTH|MEDIUM|ML-0001
91136|MNV|Manta|VOR-DME|113900|-0.9347220063209534|-80.66190338134766|58|EC|-0.072|BOTH|HIGH|SEMT
91137|MNV|Madisonville|NDB|361|35.545101165771484|-84.38300323486328|1005|US|-4.265|LO|LOW|
91135|MNV|Maun|VOR-DME|112700|-19.990400314331055|23.3887996673584|3100|BW|-9.547|BOTH|HIGH|FBMN
91138|MNW|Munchen|NDB|338|48.374298095703125|11.91409969329834||DE|1.437|TERMINAL|LOW|EDDM
91139|MNZ|Hamilton|NDB|251|31.62019920349121|-98.14749908447266|1268|US|5.274|TERMINAL|LOW|
91140|MO|Khanlar|NDB|136|40.61669921875|46.33330154418945||AZ|5.278|BOTH|MEDIUM|
91141|MO|Namibe|NDB|358|-15.261099815368652|12.144100189208984||AO|-9.316|BOTH|MEDIUM|FNMO
91142|MO|Moosonee|NDB|224|51.28229904174805|-80.62789916992188||CA|-12.538|BOTH|MEDIUM|CYMO
91143|MO|Trapen|NDB|325|-41.525001525878906|-73.0969009399414||CL|9.499|TERMINAL|MEDIUM|SCTE
91144|MO|Moorea|NDB|378|-17.478300094604492|-149.7740020751953|10|PF|12.434|TERMINAL|MEDIUM|NTTM
91145|MO|Muko Muko|NDB|249|-2.550189971923828|101.10199737548828|16|ID|-0.115|BOTH|MEDIUM|WIPU
91146|MO|Mombasa|NDB|267|-4.033010005950928|39.61520004272461||KE|-1.144|BOTH|HIGH|HKMO
91147|MO|Astana|NDB|318|50.98419952392578|71.40779876708984||KZ|9.193|BOTH|MEDIUM|UACC
91148|MO|Monrovia Roberts|NDB|372|6.242869853973389|-10.353300094604492|31|LR|-8.058|BOTH|MEDIUM|GLRB
91149|MO|Mopti/Ambodedjo|NDB|395|14.51099967956543|-4.087890148162842||ML|-3.48|TERMINAL|MEDIUM|
91150|MO|Mohyliv Podilskyi|NDB|406|48.444698333740234|27.836599349975586||UA|5.179|TERMINAL|HIGH|
91151|MO|Wisle|NDB|248|30.76059913635254|-88.30280303955078||US|-0.47|LO|MEDIUM|KMOB
91152|MO|Wowar|NDB|367|37.57310104370117|-120.8550033569336|115|US|14.27|TERMINAL|LOW|KMOD
91153|MO|Melo|NDB|274|-32.3400993347168|-54.223899841308594||UY|-11.464|LO|LOW|SUMO
91154|MO|Manapouri|NDB-DME|346|-45.49689865112305|167.71800231933594|687|NZ|24.001|BOTH|LOW|NZMO
91155|MOB|Taszar|TACAN|114200|46.39699935913086|17.91950035095215|526|HU|3.023|BOTH|LOW|LHTA
91156|MOD|Modesto|VOR-DME|114600|37.62730026245117|-120.95800018310547|90|US|14.289|BOTH|HIGH|KMOD
91157|MOD|Munster|DME|114050|52.13800048828125|7.687240123748779|207|DE|0.235|TERMINAL|LOW|EDDG
91158|MOE|Oyama|VOR-DME|108650|34.07099914550781|139.56100463867188|63|JP|-6.233|BOTH|HIGH|RJTQ
91159|MOE|Momote|NDB-DME|212|-2.06141996383667|147.42599487304688|85|PG|5.204|BOTH|HIGH|AYMO
91160|MOF|Maumere|VOR-DME|114500|-8.645689964294434|122.24199676513672|115|ID|2.061|BOTH|HIGH|WATC
91161|MOG|Mount Magnet|NDB|395|-28.064199447631836|117.84400177001953||AU|0.25|BOTH|MEDIUM|YMOG
91162|MOG|Montague|NDB|404|41.72719955444336|-122.48200225830078|2620|US|15.517|TERMINAL|LOW|
91163|MOI|Morichal|NDB|300|8.821419715881348|-63.09199905395508||VE|-13.15|LO|MEDIUM|SVNX
91164|MOJ|Montijo|TACAN|110000|38.70880126953125|-9.033220291137695|66|PT|-3.567|BOTH|HIGH|LPMT
91165|MOJ|Mojkovac|NDB|308|42.94459915161133|19.57550048828125||RS|3.058|BOTH|LOW|
91166|MOK|Bordj Mokhtar|VOR|113000|21.380800247192383|0.9521420001983643||DZ|-1.318|BOTH|HIGH|
91167|MOK|Bordj Mokhtar|NDB|304|21.372299194335938|0.9196360111236572||DZ|-1.323|BOTH|MEDIUM|
91168|MOL|Montebello|VOR-DME|115300|37.9005012512207|-79.10690307617188|3460|US|-8.569|BOTH|MEDIUM|
91169|MON|Puerto Montt|VOR-DME|115700|-41.42919921875|-73.09190368652344|285|CL|9.467|BOTH|HIGH|SCTE
91170|MON|Monastir|VOR-DME|113100|35.75490188598633|10.748100280761719|32|TN|1.159|BOTH|HIGH|DTMB
91171|MON|Monticello|VOR-DME|111600|33.56209945678711|-91.7156982421875|280|US|1.177|LO|MEDIUM|
91172|MON|Geralds|NDB|215|16.792800903320312|-62.19309997558594|550|MS|-14.139|LO|LOW|TRPG
91173|MOP|Mt Pleasant|VOR-DME|110600|43.622798919677734|-84.73729705810547|752|US|-6.039|LO|MEDIUM|
91174|MOQ|Mcintosh|NDB|263|31.83049964904785|-81.50980377197266||US|-5.489|TERMINAL|LOW|
91175|MOR|Moree|NDB|392|-29.497299194335938|149.8520050048828||AU|10.484|BOTH|LOW|YMOR
91176|MOR|Moro|NDB-DME|164|-6.362870216369629|143.25399780273438|2750|PG|5.061|BOTH|LOW|AYMR
91177|MOS|Mosjoen|TACAN|113900|65.87770080566406|13.308500289916992|2105|NO|2.35|BOTH|HIGH|ENMS
91178|MOS|Mostaganem|VOR-DME|112200|35.89860153198242|0.13638900220394135|732|DZ|-0.58|BOTH|HIGH|DA14
91179|MOS|Moses Point|VOR-DME|116300|64.69650268554688|-162.0709991455078|14|US|15.349|LO|MEDIUM|MOS
91180|MOS|Mostaganem|NDB|334|35.90919876098633|0.13722200691699982||DZ|-0.598|BOTH|MEDIUM|DA14
91181|MOT|Minot|VORTAC|117100|48.26029968261719|-101.28700256347656|1691|US|7.501|BOTH|HIGH|KMOT
91182|MOT|Montana|VOR-DME|115850|46.31340026855469|7.503330230712891|4456|CH|0.369|BOTH|MEDIUM|LSGS
91183|MOU|Moulins|VOR-DME|116700|46.7067985534668|3.6316699981689453|699|FR|-0.294|BOTH|HIGH|
91184|MOU|Moulins|NDB|324|46.70589828491211|3.6308600902557373||FR|-0.294|BOTH|MEDIUM|
91185|MOV|Mombasa|VOR-DME|112300|-3.9485299587249756|39.6427001953125|200|KE|-1.129|BOTH|HIGH|HKMO
91186|MOV|Monclova|VOR-DME|117900|26.95549964904785|-101.47100067138672|1864|MX|6.597|BOTH|HIGH|MMMV
91187|MOX|Morris|VOR-DME|109600|45.565799713134766|-95.96920013427734|1132|US|3.324|LO|LOW|
91188|MOZ|Moz|NDB|285|-1.7503299713134766|-52.23379898071289|53|BR|-18.254|BOTH|MEDIUM|SNMZ
91189|MP|Maripasoula|NDB|385|3.657180070877075|-54.0359992980957||GF|-17.287|LO|MEDIUM|
91190|MP|Mount Pleasant|NDB|380|-51.82419967651367|-58.47129821777344||FK|4.128|BOTH|MEDIUM|EGYP
91191|MP|Sumenep|NDB|200|-7.024199962615967|113.88999938964844|10|ID|1.295|BOTH|MEDIUM|WART
91192|MP|Mokpo|NDB|267|34.757598876953125|126.38200378417969|23|KR|-6.533|BOTH|MEDIUM|RKJM
91193|MP|Malampaya (Shell Oil Platform)|NDB|315|11.861499786376953|119.31400299072266||PH|-0.441|TERMINAL|MEDIUM|
91194|MP|Mariepskop|NDB|297|-24.541400909423828|30.869400024414062|6324|ZA|-16.257|BOTH|MEDIUM|
91195|MP|Mary|NDB|439|37.57170104980469|61.89970016479492||TM|4.01|BOTH|MEDIUM|UTAM
91196|MP|Durazno|NDB|298|-33.34320068359375|-56.4911994934082|305|UY|-9.239|TERMINAL|LOW|SUDU
91197|MPA|Minnipa|NDB|200|-32.843299865722656|135.1479949951172||AU|6.262|BOTH|LOW|YMPA
91198|MPA|Meridian|NDB|238|43.60340118408203|-116.53900146484375|2459|US|15.019|TERMINAL|LOW|
91199|MPE|Matsuyama|VOR-DME|116300|33.8129997253418|132.71800231933594|64|JP|-6.513|BOTH|HIGH|RJOM
91200|MPE|Philadelphia|NDB|219|32.798500061035156|-89.12460327148438|440|US|-0.277|LO|LOW|
91201|MPG|Progreso|NDB|280|21.273399353027344|-89.7136001586914|18|MX|1.172|BOTH|MEDIUM|MMMD
91202|MPJ|Morrilton|NDB|410|35.11869812011719|-92.92520141601562||US|2.009|TERMINAL|LOW|
91203|MPK|Bangui M Poko|VOR-DME|117300|4.376140117645264|18.525400161743164|1208|CF|-0.292|BOTH|HIGH|FEFF
91204|MPR|Mc Pherson|NDB|227|38.34830093383789|-97.68730163574219|1490|US|5.098|TERMINAL|LOW|
91205|MPV|Montpelier|VOR-DME|110800|44.08549880981445|-72.44940185546875|2080|US|-15.172|LO|MEDIUM|
91206|MPZ|Mt.pPeasant|NDB|212|40.94279861450195|-91.5093002319336|783|US|0.197|||
91207|MQ|Miyako|NDB|209|39.8557014465332|141.9459991455078||JP|-8.008|TERMINAL|MEDIUM|
91208|MQ|Miquelon|NDB|402|47.09749984741211|-56.38589859008789|10|PM|-20.281|BOTH|LOW|LFVM
91209|MQD|Mount Mcquoid (Closed Nov 2008)|VOR|-1|-33.108299255371|151.13900756836||AU||BOTH|HIGH|
91210|MQD|Mount Mcquoid (Closed May 2016)|NDB|-1|-33.112201690674|151.13900756836||AU|12.2|BOTH|LOW|
91211|MQD|Mc Dowell Creek|NDB|391|39.117401123046875|-96.62930297851562|1060|US|4.25|TERMINAL|MEDIUM|KMHK
91212|MQE|Miyako|VOR-DME|116600|39.8656005859375|141.9510040283203|628|JP|-8.009|BOTH|HIGH|
91213|MQG|Nez Perce|VOR-DME|108200|46.38159942626953|-116.87000274658203|1720|US|15.539|LO|MEDIUM|
91214|MQI|Manteo|NDB|370|35.91529846191406|-75.69509887695312|10|US|-10.447|LO|LOW|KMQI
91215|MQO|Morro Bay|VORTAC|112400|35.25230026245117|-120.76000213623047|1463|US|13.507|BOTH|MEDIUM|KSMX
91216|MQP|Millsap|VORTAC|117700|32.726200103759766|-97.99739837646484|900|US|5.225|BOTH|HIGH|
91217|MQU|Mariquita|VOR-DME|116100|5.207220077514648|-74.92420196533203|2780|CO|-5.09|BOTH|HIGH|SKQU
91218|MQW|Mc Rae|NDB|280|32.094600677490234|-82.88379669189453|205|US|-4.529|TERMINAL|LOW|
91219|MR|Sheremetyevo|VOR-DME|114600|55.961700439453125|37.34830093383789|656|RU|9.408|BOTH|HIGH|UUEE
91220|MR|Kaburau|NDB|380|2.533329963684082|117.4000015258789|984|ID|0.458|BOTH|MEDIUM|
91221|MR|Dimapur|NDB|422|25.883899688720703|93.7677001953125||IN|-0.296|BOTH|MEDIUM|VEMR
91222|MR|Marsabit|NDB|264|2.35263991355896|37.98419952392578||KE|0.446|BOTH|MEDIUM|HKMB
91223|MR|Masirah|NDB|343|20.677400588989258|58.88479995727539|135|OM|0.2|TERMINAL|MEDIUM|OOMA
91224|MR|Mare|NDB|388|-21.481599807739258|168.03599548339844|141|NC|12.261|TERMINAL|LOW|NWWR
91225|MR|Myra|NDB|389|59.2677001953125|9.573809623718262||NO|0.439|TERMINAL|LOW|
91226|MR|Volochaevka|NDB|305|48.56669998168945|134.58299255371094||RU|-11.422|BOTH|HIGH|
91227|MR|Sheremetyevo|NDB|700|55.959999084472656|37.32500076293945||RU|9.404|TERMINAL|MEDIUM|UUEE
91228|MR|Ulyanovsk|NDB|332|54.266700744628906|48.23360061645508||RU|11.088|TERMINAL|HIGH|
91229|MR|Maribor|NDB|334|46.371498107910156|15.79319953918457|768|SI|2.354|LO|LOW|LJMB
91230|MR|Kueijen|NDB|312|22.978300094604492|120.29000091552734||TW|-3.058|TERMINAL|LOW|
91231|MR|Munso|NDB|385|36.62080001831055|-121.93900299072266||US|14.226|LO|LOW|KMRY
91232|MRA|Mragowo|VOR-DME|117300|53.7849006652832|21.13279914855957|492|PL|4.341|LO|HIGH|EPTO
91233|MRA|Marilia|NDB|415|-22.194799423217773|-49.929298400878906|2122|BR|-18.196|LO|MEDIUM|SBML
91234|MRB|Martinsburg|VORTAC|112100|39.38560104370117|-77.84839630126953|600|US|-10.158|BOTH|MEDIUM|KMRB
91235|MRB|Maraba|VOR-DME|113700|-5.368169784545898|-49.13520050048828|357|BR|-19.479|BOTH|HIGH|SBMA
91236|MRB|Moranbah|NDB|218|-22.0625|148.0749969482422|770|AU|8.349|BOTH|MEDIUM|YMRB
91237|MRB|Maraba|NDB|370|-5.37129020690918|-49.134700775146484|357|BR|-19.479|BOTH|MEDIUM|SBMA
91238|MRB|Marib|NDB|271|15.468299865722656|45.32830047607422||YE|1.341|BOTH|HIGH|
91239|MRC|Marica|VOR-DME|114000|-22.96769905090332|-42.891300201416016|4|BR|-21.45|BOTH|HIGH|SDMC
91240|MRD|Mardin|VOR-DME|116900|37.227699279785156|40.63859939575195|1729|TR|4.353|BOTH|HIGH|LTCR
91241|MRD|Mardin|NDB|403|37.227699279785156|40.63859939575195|1729|TR|4.359|BOTH|LOW|LTCR
91242|MRE|Aomori|VOR-DME|114100|40.738800048828125|140.7050018310547|764|JP|-8.312|BOTH|HIGH|RJSA
91243|MRF|Marfa|VOR-DME|115900|30.29840087890625|-103.95500183105469|4830|US|8.146|BOTH|MEDIUM|
91244|MRH|Masirah Island|VORTAC|113800|20.674400329589844|58.89609909057617|80|OM|0.199|TERMINAL|HIGH|OOMA
91245|MRH|Morehead|NDB|269|34.731201171875|-76.66210174560547|5|US|-9.491|TERMINAL|LOW|
91246|MRJ|Mineral Point|NDB|365|42.888099670410156|-90.22650146484375|1157|US|-1.04|TERMINAL|LOW|
91247|MRK|Molly Ridge|NDB|338|32.411399841308594|-91.77670288085938|75|US|1.264|TERMINAL|LOW|
91248|MRL|Marmul|VOR-DME|114300|18.142200469970703|55.17789840698242|920|OM|0.25|BOTH|HIGH|OOMX
91249|MRM|Marseille/Provence|VOR-DME|108800|43.37730026245117|5.32643985748291|771|FR|0.096|BOTH|HIGH|LFML
91250|MRN|Moron|TACAN|115300|37.17319869995117|-5.619639873504639|285|ES|-2.428|BOTH|MEDIUM|LEMO
91251|MRN|Marinilla|VOR-DME|113000|6.176390171051025|-75.32389831542969|7054|CO|-5.03|BOTH|HIGH|SKRG
91252|MRN|Moron|VOR-DME|115500|37.17509841918945|-5.618919849395752|285|ES|-2.428|TERMINAL|HIGH|LEMO
91253|MRN|Maringa|NDB|320|-23.475799560546875|-52.00600051879883|1788|BR|-16.422|BOTH|MEDIUM|
91254|MRP|Mariupol|DME|116200|47.07509994506836|37.45180130004883|269|UA|6.362|LO|MEDIUM|UKCM
91255|MRT|Marysville|NDB|403|40.22669982910156|-83.34960174560547|997|US|-6.183|TERMINAL|LOW|
91256|MRW|Merowe|VOR-DME|116000|18.449800491333008|31.818700790405273|881|SD|2.338|BOTH|HIGH|HSMR
91257|MRW|Morawa|NDB|407|-29.208900451660156|116.02400207519531||AU|-0.367|BOTH|MEDIUM|YMRW
91258|MRY|Moruya|NDB|215|-35.898399353027344|150.14300537109375||AU|12.598|BOTH|LOW|YMRY
91259|MS|Mong Hsat|NDB|312|20.534400939941406|99.26270294189453||MM|-0.474|BOTH|MEDIUM|VYMS
91260|MS|Mcinnes Island|NDB|388|52.26139831542969|-128.72300720214844||CA|20.174|BOTH|MEDIUM|
91261|MS|Matadi|NDB|264|-5.818819999694824|13.44950008392334||CD|-4.183|BOTH|LOW|FZAM
91262|MS|Mbandaka|NDB|255|0.014006000012159348|18.283000946044922||CD|-1.191|BOTH|MEDIUM|FZEA
91263|MS|Massawa|NDB|230|15.66569995880127|39.315799713134766||ER|2.162|BOTH|LOW|HHMS
91264|MS|Marseille/Provence|NDB|343|43.38859939575195|5.283470153808594||FR|0.089|TERMINAL|LOW|
91265|MS|Plaisance|NDB|343|-20.440200805664062|57.690799713134766||MU|-19.061|TERMINAL|LOW|FIMP
91266|MS|Mae Sot|NDB|316|16.701900482177734|98.53980255126953|690|TH|-0.424|BOTH|MEDIUM|VTPM
91267|MS|Ilan|NDB|225|24.73189926147461|121.74099731445312||TW|-3.393|TERMINAL|MEDIUM|
91268|MS|Narco|NDB|266|44.82569885253906|-93.09130096435547||US|1.076|TERMINAL|LOW|KMSP
91269|MS|Monah|NDB|400|43.06269836425781|-89.34590148925781||US|-1.522|TERMINAL|LOW|KMSN
91270|MS|Kinte|NDB|338|30.02519989013672|-90.39990234375||US|0.442|TERMINAL|MEDIUM|KMSY
91271|MS|Misse|NDB|278|44.85409927368164|-74.91580200195312|240|US|-14.079|LO|LOW|KMSS
91272|MS|Monga|NDB|359|41.7666015625|-74.86080169677734|1330|US|-13.009|TERMINAL|LOW|
91273|MS|Matsapha|NDB|263|-26.510499954223633|31.334699630737305||SZ|-19.217|BOTH|MEDIUM|FDMS
91274|MS|Masvingo|NDB|317|-20.01020050048828|30.843900680541992||ZW|-10.389|BOTH|MEDIUM|FVMV
91275|MS|Maniitsoq|DME|110550|65.4115982055664|-52.93000030517578|172|GL|-33.143|TERMINAL|LOW|BGMQ
91276|MSA|Mount Pleasant|NDB|381|33.128501892089844|-94.9740982055664|404|US|3.31|TERMINAL|LOW|
91277|MSB|Monarch|NDB|410|37.79140090942383|-95.41500091552734|972|US|3.366|TERMINAL|LOW|
